title,Responsibilities
Data Scientist,"Under general supervision, the data specialist will assist staff scientists in supporting the computationalneeds of multi-omics and high-throughput experimental pipelines (at the client and elsewhere; many projectsinvolve inter-laboratory collaborations). Increasingly, projects are implementing approaches for analysesthat include statistical modeling, machine learning, and artificial intelligence. The division seeks to be onthe cutting edge of this field. Research familiarity is required with computational tools applied inmolecular biology, microbiology, biochemistry, and metabolic engineering. Experience with wrangling,cleansing, and structuring of data for use in machine learning approaches is essential. Stronginterpersonal skills are an asset in contributing to collaborative projects that involve interaction withteams of scientists at the client , at other national laboratories, and at industrial partners throughout thecountry engaged in biomanufacturing."
Data Scientist,"Skills:• Proficient with data querying languages (e.g. SQL)• Experience with scripting languages (e.g. Python), and/or statistical software (e.g. R)• Effective communication, able to convey complex information and influence your partners using clear insights and recommendations• Experience working with large datasets"
"Machine Learning Engineering Manager - Recommendation, TikTok-US-Tech Services",• Manage a team of software engineers working on multiple personalization systems
"Machine Learning Engineering Manager - Recommendation, TikTok-US-Services",• Manage a team of software engineers working on multiple personalization systems
Machine Learning Engineer - New Fintech Product,"The part that you play in this organization, and specific duties you are measured against "
Senior Data Scientist/Data Analyst (SAS),"Expert Proficiency in SAS Visual Analytics, SAS Enterprise Guide, SAS Studio, Analytics for Office, and other SAS tools to support the data analytic development process and assist in creating models and reportsCoordinate with staff and customers to identify business and technical requirementsProduce written documentation and artifacts for all work completed, including the translation of user requirements into technical designs.Assist the agency in the development of SAS programming and visualization solutionsTroubleshoot and provide support on existing projects or application effortsUnderstand the concepts supporting relational databases and data warehousingKnowledge of ODBC connection strings, and other external data source connection protocols Engineer data analytic solutions, including prototyping, proof of concept, and full implementationEvaluate, assess, document, and test data security and continuity of operations for systems and programsEnsure compatibility between equipment and software, analyze operational/systems requirements, support design reviews, and present technical briefings"
"Engineer 3, Machine Learning","Implements, refines and validates machine learning algorithms for products and applications.Takes action on existing specifications of designs and develops data pipelines consisting of data ingest, data validation, data cleaning and data monitoring.Trains machine learning models, validates the accuracy of the machine learning models once trained and deploys validated machine learning models into production.Researches, writes and edits documentation and technical requirements, including evaluation plans, confluence pages, white papers, presentations, test results, technical manuals, formal recommendations and reports. Contributes to the company by creating patents, Application Programming Interfaces (APIs) and other intellectual property.Tests and evaluates solutions presented to the Company by various internal and external partners and vendors. Completes case studies, testing and reporting.Designs proof of concept solutions and contributes to studies to support future product or application development.Collaborates with teams outside of immediate work group. Represents the work team in providing solutions to technical issues associated with assigned projects.Provides guidance and leadership to more junior engineers.Consistent exercise of independent judgment and discretion in matters of significance.Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.Other duties and responsibilities as assigned."
Senior Data Scientist (Optimization Team),"Develop an understanding of Epsilon CORE Personalization Platform and proprietary datasetsUse your optimization, control theory, simulation, or machine learning expertise to research and recommend the best approaches to solving our technology and business problemsDesign, implement, and validate your solutions in Apache Spark and Apache Hive using Scala, PySpark and Python on large state-of-the-art computing clustersWork with our Engineering teams to integrate your solutions into Epsilon’s CORE Personalization PlatformParticipate fully in our collaborative approach to research and applications projects"
Data Scientist (Machine Learning) - Bellevue WA - till Pandemic,Exploring and visualizing data to gain an understanding of it then identifying differences in data distribution that could affect performance when deploying the model in the real worldVerifying data quality and/or ensuring it via data cleaningSupervising the data acquisition process if more data is neededFinding available datasets online that could be used for training - Defining validation strategiesDefining the preprocessing or feature engineering to be done on a given dataset
Lead Data Science Analyst,"Leads the development and implementation of advanced analytics including customer segmentation, optimization, prescriptive analytics and machine learning algorithm & recommendation to solve business problems. Operates as a subject matter expert on statistical analysis, test and design of experiment, analysis methodology, modeling & application, and financial impact analysis.Collaborates with cross-functional partners to understand their business needs, formulate and complete end-to-end analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations. Delivers effective presentations of findings and recommendations to multiple levels of leadership, creating visual displays of quantitative information.Establishes and maintains effective performance tracking; identify improvement opportunity, form hypothesis, proposes, designs and implements tests to drive strategy enhancement and optimization.Manages multiple priorities, communicate business performance and project progress to management & business partners.Develops and automates reports, iteratively build and prototype dashboards to provide insights at scale, solving for analytical needs. Facilitates implementation of work product and ensure accuracy.Consistently follows standard work processes and documentation requirements. Recommends improvement to work processes to increase efficiency while maintaining quality of work.Continuously improves technical and leadership skills through training and development."
Principal / Master R&D Software Engineer (Machine Learning - Energy Management),"Identify/plan/finalize/realize deep learning and AI business modelEvaluate and select different algorithm models into solution portfolioDevelop deep learning algorithms for multi-dimension AI, data mining & database managementDevelop deep learning algorithms for smart energy and cloud AIDevelop deep learning solution platforms for various energy management applications"
Senior / Principal R&D Software Engineer (Machine Learning - Energy Management),"Identify/plan/finalize/realize deep learning and AI business modelEvaluate and select different algorithm models into solution portfolioDevelop deep learning algorithms for multi-dimension AI, data mining & database managementDevelop deep learning algorithms for smart energy and cloud AIDevelop deep learning solution platforms for various energy management applications"
Junior/ Senior R&D Software Engineer (Machine Learning - Energy Management),"Identify/plan/finalize/realize deep learning and AI business modelEvaluate and select different algorithm models into solution portfolioDevelop deep learning algorithms for multi-dimension AI, data mining & database managementDevelop deep learning algorithms for smart energy and cloud AIDevelop deep learning solution platforms for various energy management applications"
Senior Data Scientist,"Design and develop applications needed  for data analysis, modelling and data visualizations.Configure and deploy applications to get the required reports for system’s analysisFind and communicate “stories” told in the data using AI/ML technologiesDevelop data analytics and reporting  using AI/ML platforms/techniques (PyTorch, PandasNumPy SciPy, TensorFlow, PyTorch, Apache MXnet, Theano, Keras, CNTK, scikit-learn, H2O, Spark MLlib, etc)Evaluate new technologies and innovate on new approaches to develop the best solutions and self-service analytics capabilities.Conduct quantitative data analysis using a variety of datasets, including retrieval, wrangling, processing, fusion, analysis, and visualization.Harness the operations and business data in a hybrid model like data lake, with multiple Bigdata, SQL, NOSQL, with on-prem and cloud hybrid framework,Develop custom reporting/visualization and design backend data organization suitable using the standard BI visualization frameworks.Develop Analytics using Cloud based framework like GCP, AWS for ETL, data organization, storage and visualizations."
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineeringBuild the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefrontCreate a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineeringBuild the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefrontCreate a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Data Scientist,"• Work with business analysts and internal stakeholders to identify business problems and opportunities, propose analytics solutions, as well as data and technology requirements, and formalise them into a project. Analytics solutions include, but are not limited to report automation, descriptive analytics, and advanced analytics"
Vice President Addressable Data Products and Data Science, Lead and manage ArcSpan s data products team
"Senior Principal Scientist, Machine Learning Computational Immunologist","Pioneer machine learning research into antibody-antigen interaction modeling and design using internal and external datasets.Partner with project teams to advance sequence- and structure-based antibody discovery and design.Develop and implement computational approaches and prediction algorithms that can map linear and three-dimensional epitopes, optimize binding scaffolds and library design to guide screening, identify and mature the affinity of antibody hits, and assess potential liabilities and optimal development options.Communicate findings and recommend follow-up actions in multiple settings such as 1:1, seminars, group, and project meetings."
Senior Distinguished Engineer - Machine Learning Platform," Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering  Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learning  As a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront  Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilities  Nurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progress  Partner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities "
Senior Distinguished Engineer - Machine Learning Platform," Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering  Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learning  As a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront  Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilities  Nurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progress  Partner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities "
Machine Learning Research Engineer,"These are some of the interesting things you will be doing:Working with small teams on the research, design, and development of sensor exploitation systems including object/target detection and classification.Collaborating with our customers to address challenging surveillance mission requirements by developing new capabilities as well as making improvements to existing systems.Interacting with technical and management staff at Leidos and our customers to execute research and development projects, document and report project results and support business capture efforts."
Principal/Architect Data Science/ Machine Learning Engineer,"Designs solutions that are enterprise scalable and maintainable. Able to consider a breadth of data use casesDrive strategic technology initiatives, working with Product Managers, other Architects,, Engineers,, SME's and the broader Salesforce organizationWorks in a consultative fashion to improve communication, collaboration and alignment amongst teams inside and outside of the organization.Analyzes and provides feedback on product strategyProvides input into long-range product requirements, best practices, and operational guidelines, with focus on continuous improvement of platform reliability and serviceabilityDrives research, case studies, and prototypes on leading edge technologies and how they can be leveragedEnsures that we are continuously raising our standard of engineering excellence"
Clinical Data Scientist,"Be the scientific expert related to translational and clinical data analysis in general and the use of our Genedata Profiler software in particular,Support Genedata Profiler implementation projects through user engagement, consulting, business process analysis, and solution design,Work with our Business Development team in establishing and communicating the value of Genedata Profiler to prospects and customers,Scope and perform customer data science projects and ensure results delivery at the level of excellence that our customers know us for,Identify new business opportunities in collaboration with the business team,Establish relationships with our customers by being their first contact and a partner on scientific and technical matters,Channel the insights gathered through your customer interactions back to our Development and Product Management team."
Data Scientist,"Design features from data generated in the ThreatMetrix Digital Identity network to build actionable rules.Develop machine learning models (linear, non-linear, tree based etc.) to help customers optimize their fraud detection capabilities on their online banking platforms.Conduct exploratory data analysis and data mining to uncover global cybercrime trends and proactively provide intelligence to clients.Conduct graph analysis of fraud and organized criminal actors across ThreatMetrix's global network.Support clients with model governance inquiries; provide technical documentation and model performance reports.Own, maintain, and build scripts and modules for ThreatMetrix Professional Services to use for delivering key metrics to clients.Collaborate with internal team on proof-of-concept analysis for new or beta product features.Review suspicious activity and complex fraud cases to help identify new risks and mitigation steps."
Artificial Intelligence/Machine Learning Engineer,"Degree (university or university of applied sciences) with specialization in artificial intelligence, machine learning, deep learning, and similar fieldsProject experience in these areas or appropriate PhD degreeProgramming skills in Python and knowledge of the frameworks TensorFlow, PyTorch, Keras, Scikit, NumPy, pandasUnderstanding of and knowledge about physics-based mathematical models advantageousMatlab and Linux skills advantageousTarget-oriented as well as self-reliant and structured way of workingVery good English skills, German advantageous"
"Machine Learning Engineer (Tensor Flow , PyTorch)","Be/Become a Machine Learning and Artificial Intelligence expert and apply cutting edge research technologies to solve real world business problemsWork with various client stakeholders understand and evaluate their business pain points and identify areas where data science and analytics can be the solution Develop high-level solution architectures and design ML/AI applications Work with data science and ML engineering teams to build, test, and assess models to predict and optimize business outcomes Work closely with delivery manager and team members, across multiple locations, to ensure seamless delivery and communication cadences Communicate complex concepts and insights in a clear and concise mannerMaintain an entrepreneurial spirit as you learn new ways to solve problems"
Senior Machine Learning Engineer,Build & maintain production ready ML pipelinesBuild & maintain a production-ready experimentation platform to run models in parallel and A/B testPrepare and preprocess data in collaboration with the data engineering team
"Manager, Data Science & Insights (Platforms)","Produce daily, weekly and monthly in-depth reports for all Dow Jones brands across all platform partnerships (Apple, Facebook, Google)Create dashboards for both executive and team consumption, speaking to our overall OKRsPrepare data for analysis by Financial Planning groups by merging data from several source systems into a coherent datasetFollow an air-tight quality control process to ensure reporting and analytics accurately reflect circulation and revenue figuresProduce persistent segmentation across all marketing channels for measurement of subscriber behaviorProduce operational metrics to measure throughput and to build scale within a growing organizationIdentify opportunities to enhance targeting/segmentation capabilitiesBuild and train predictive models that will help inform the Platform team s strategy"
Data Science Lead,"Lead large-scale ML initiatives with the customer in mindDelivery ML and Deep Learning models that solve challenging business problems in collaboration with Product, Infrastructure, Marketing, Engineering, and Data Science teamsOptimize data pipelines to feed ML models and leverage cloud-based architectures and technologies to deliver optimized ML models at scale.Drive the creation and evolution of ML models and software that enable state-of-the-art intelligent systemsBring thought leadership in this space by introducing ways of identifying and testing for and eliminating biases in our models – a trusted advisor to all stakeholdersHelp recruit, nurture, and retain top data talent."
Associate Data Scientist,"Work closely with other personnel to achieve efficient and effective modeling of large data sets, compiling reports, and developing data sets for evaluationDesigns and maintains data systems and databases; including fixing coding errors and other data-related issuesAssemble large, complex data sets that meet business requirementsWork with stakeholders (Management, Data Scientists, IT) teams to assist with data-related technical issues and support their data infrastructure needsBuild analytics tools that utilize the data pipeline to provide actionable insights into sales performance and other key business metricsData mining from primary and secondary sources, and reorganizing data in a format that can be easily read by either human or machineWork with reporting programs (Excel and Power BI) to effectively report on data trendsDevelop and implement data analyses, data collection systems and other strategies that optimize efficiency and qualityPerform quality analysis on datasets and databases and conversion of erroneous data into a useable form for data analysisPerforms other job-related duties as assigned"
Senior Manager of Data Science,Champion the use of data analytics and automation techniques to help the Financial Crimes Organization develop new fraud management tools that support the evolution of the organization into a more adaptive and nimbler workplace. 
Senior Data Scientist,"Execute on end-to-end data science projects (ideation, data engineering, modeling, interpretation, visualization).Develop data-driven products that help (1) drive revenue, (2) increase productivity, and (3) automate processesKeep up-to-date on new technologies and trends in data science and EdTech.Develop data science best practices on a BEG Data Lab group level, to enable knowledge transfer among all portfolio companies. Collaborate with other Bertelsmann divisions, to foster cross-divisional learning."
Director Data Science,"Trusted Advisor: Provide direction to clients in different verticals on their selection of analytical methods, modeling techniques, expected impact, and relevant tools and methodologies that they can deploy to accelerate advanced analytics programs. Pre-Sales and Consulting: Lead and drive technology consulting engagements and pre-sales, architecture assessments, and discovery workshops. Plan analytical programs of Fortune-1000 enterprises and lead a team of principal consultants and data scientists who work on client accounts and drive consulting engagements to success.R&D: Create and bring to the market solutions in data science, AI, advanced analytics. Responsible for driving innovation through research and development activities on industry trends, defining Go-To-Market strategies, developing assets and solutions strategies across multiple industries.Engineering: Working with Grid Dynamics’s delivery organization to ensure that the right tools, technologies, and processes are in place across the firm to transform and continuously improve the quality and efficiency of our clients’ analytical capabilities and business processes.Business Development and Partnership: Manage relationships with key technology partners and industry analysts like Gartner and Forrester.Strategy: Oversees all aspects of developing and delivering data science capabilities, bringing innovation, intelligence, and deep industry experience together with leading technologies to help clients."
Data Scientist,"Work with data engineers to build mineable datasetsExecute data mining activities providing insight from datasetsBuild accurate predictive models driving decision makingWork with business owners to understand context with in datasetsDeliver insight to leadership, helping drive strategic business decisionsHypothesize, experiment & drive insight by any means necessaryDrive innovation by evaluating business processes and identifying data science solutions."
Sr. Data Scientist (Machine Learning Engineer),"Knowledge, Skills, and Abilities You have at least one core programming expertise, such as python (NumPy, SciPy, Pandas) or R Experience with advanced machine learning methods in NLP Strong statistical knowledge, intuition, and experience modeling real data"
Machine Learning Architect,"Research emerging ML/AI/NLP / Data Science solutions and be conversant with latest developments in these fieldsBrainstorm with internal stakeholders, and external clients to identify innovations in ML/AI/NLP to help advance automation, knowledge discovery, decision-making and insights, and streamline business processes or enable new capabilities,Implement and prototype new algorithms and write code for novel ML/AI/NLP solutions,Evaluate custom solutions through prototyping, POCs and quantitative metrics, and handing off solutions to stakeholder teams as needed -Discuss, brainstorm new advanced technology solutions with team membersExplain complex models to non-experts, in layperson terminology to clients, stakeholders and managers, while also being able to discuss intricacies of complex algorithms with experts in the fieldHelp identify, Design and implement the ML/AI Platform and technologies to enable MLcapabilities, like Model training, Model Analysis, Feature Store & Server, Experimental Tracking, Knowledge Management, e.t.cHelp Design and implement the ML Ops Service, Process and tools in support of ML Operations."
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
"Data Scientist Project Manager | Analytics | Retail, Media & Hi-Tech","Take stakeholder needs into consideration, bridging methodology and data into meaningful strategy from your analysesLead development of analytical models using statistical, machine learning and data mining methodologiesBe a communicator who crafts impactful data narratives that inform business decisionsWork with large big data sources, focusing on efficient data creation and feature engineeringDefine procedures for data cleansing, discretization, outlier treatment, variable selection, standardization etc. to create high quality features for the modeling processCreate model reports and presentations to showcase assumptions and results to stakeholdersDrive work on creating a state of the art codebase and machine learning lifecycle infrastructureContribute to the team through mentorship, technical methods, and improvements in how we work"
Entry-Level Data Scientist," Collaborate with dynamic teams of engineers, developers, and scientists who research and integrate algorithms to develop an application, software, and computer system solutions to address complex data problems."
Data Scientist,"Audits databases to identify inappropriate use of data and resolves data conflicts and inappropriate data usage problems with users.Assists in the development of database strategies and maintenance and use of the corporate data dictionary.Defines and refines standards for data modeling and metadata collection and maintenance. Identifies opportunities to satisfy organizational information needs with database systems.Consults with and advises users of various database resources.Conducts data modeling sessions with internal customers, developers, business analysts and database administrators.Transforms entities and attributes from a logical model into a physical database design and ensures constraints are included to preserve data integrity. Performs data research activities to support the Corporate Data Model (CDM).Maintains currency in data administration and data architecture practices and techniques."
Sr. Data Scientist,Audience insights: deep dive on specific segments/subsegments of advertisers that need better understand workOperational execution: support campaign builds and other execution work for areas like demand generationMeasurement: report on pilots and experiments running in the programsExperiment design: proper statistical design of A/B or similar experiments in the programProgram optimization: identify levers to improve program performance & surface insights and recommendations to sales and central program partners
"Data Science Innovation, Analyst","Develop and execute innovative machine learning algorithms to optimise Client Coverage, Sales, Trading, Research, Transaction Banking and COO Office business activities."
"Data Science Innovation, Analyst","Develop and execute innovative machine learning algorithms to optimise Client Coverage, Sales, Trading, Research, Transaction Banking and COO Office business activities."
"Data Science Innovation, Analyst","Develop and execute innovative machine learning algorithms to optimise Client Coverage, Sales, Trading, Research, Transaction Banking and COO Office business activities."
"Data Science Innovation, Analyst","Develop and execute innovative machine learning algorithms to optimise Client Coverage, Sales, Trading, Research, Transaction Banking and COO Office business activities."
"Data Science Innovation, Analyst"," Develop and execute innovative machine learning algorithms to optimise Client Coverage, Sales, Trading, Research, Transaction Banking and COO Office business activities."
Data Scientist/ Machine Learning Engineer ( NLP),Own the Machine Learning research and engineering efforts
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Data Scientist II - Telecommute," Lead and deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model selection, evaluation and cross validation, deployment and productionalization at scale that drive value to Optum Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Machine learning Engineer,"Machine Learning/Data Science frameworks (Python data science stack, DL frameworks such as Pytorch, TensorFlow)Build and deploy Docker containers for seamless integration, scaling and deployment of ML applications.Build data collection plans, test scenarios in practical environments to enable machine learning experimentation.Build and integrate data streaming services with the ML application containers using modern streaming architectures such as Apache Storm.Leverage micro-services principles and architecture to build ML and data pipelines to minimize dependency fallouts and agile development.Adopt agile methodologies to accelerate delivery by identifying and removing process barriers through continuous collaboration with key stakeholders.Strong problem solving and communication skillsActive learner who keeps up with technology"
Machine Learning (ML) Engineer,"Collaborate with other engineers and data scientists to design high performance architectures to support development of machine learning models, data wrangling and data provisioning pipelines and metadata rich data lake repositories."
Machine Learning Engineer,·        Study and transform data science prototypes
Data Scientist,"Define analytical approaches and solution methodologies for solving retail business problems in close collaboration with product management and solution architects.Develop and validate prototypes using statistical programming languages (like R and Python) and optimization software applications.Test proposed solutions on real data.Write algorithmic specifications for forecasting, optimization, and data mining engines.Work closely with the development team to explain the business and analytics requirements.Present findings to internal and external audiences.Create patents and research innovative and forward-looking solutions for solving business problems.Review the deliverables throughout development to ensure quality & traceability to requirements and adherence to all quality management plans & standards"
Machine Learning/Computer Vision Engineer,"Develop innovative machine learning and computer vision technologies for emerging hardware.Propose and define forward-looking features to prototype.Partner with hardware engineers to develop prototypes for ML training, development and test data collection."
Research Associate (Software Engineering/Artificial Intelligence),Conducting research in cutting edge AI domains (mainly related to reinforcement learning) and software/hardware testingDeveloping and integrating AI algorithms into the real development progressParticipating in co-operation with Continental’s development teamPreparing academic publications such as pattern and research paperContributing to writing and presenting seasonal and annual report
Lead Machine Learning Engineer,"Partner closely with analytics product and data science teams to deliver machine learning software models and components to productionDevelop and deliver a state-of-the-art enterprise data science platformConstruct optimized data pipelines to feed machine learning modelsEstablish model monitoring for both statistical measures and business outcome measuresDevelop “human-in-the-loop” applications for enhanced decision making workflowsCreate and integrate tools that facilitate governed model development for data science teamsLeverage cloud-based architectures and technologies to deliver machine learning models at scalePartner with automation teams to create intelligent process automation architecture and botsWrangle and integrate data from various data sources using sound software engineering practice Hypothesize, experiment, and learn iteratively and quickly, without being afraid to failApply math and statistics background to develop novel algorithms, models, performance measures, and simulationsMentor junior machine learning engineers to help them grow"
